Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type
FDU35,6.44,Low Fat,0.079538056,Breads,99.47,OUT018,2009,Medium,Tier 3,Supermarket Type2
FDN57,18.25,Low Fat,0.054540968,Snack Foods,140.4154,OUT017,2007,,Tier 2,Supermarket Type1
FDA03,18.5,Regular,0.045648973,Dairy,145.6102,OUT018,2009,Medium,Tier 3,Supermarket Type2
FDM22,14,Regular,0.042022999,Snack Foods,53.064,OUT049,1999,Medium,Tier 1,Supermarket Type1
FDU14,17.75,Low Fat,0,Dairy,249.775,OUT018,2009,Medium,Tier 3,Supermarket Type2
FDZ02,6.905,Regular,0.038140213,Dairy,96.3726,OUT035,2004,Small,Tier 2,Supermarket Type1
FDL46,20.35,Low Fat,0.054166556,Snack Foods,116.9466,OUT045,2002,,Tier 2,Supermarket Type1
NCO06,19.25,Low Fat,0.108641498,Household,33.0558,OUT017,2007,,Tier 2,Supermarket Type1
NCM42,6.13,Low Fat,0.028316137,Household,109.3912,OUT035,2004,Small,Tier 2,Supermarket Type1
DRI49,14.15,Low Fat,0.1837926,Soft Drinks,81.3276,OUT049,1999,Medium,Tier 1,Supermarket Type1
FDQ22,16.75,Low Fat,0.029860799,Snack Foods,39.5822,OUT018,2009,Medium,Tier 3,Supermarket Type2
DRN36,15.2,low fat,0.050255855,Soft Drinks,97.3752,OUT049,1999,Medium,Tier 1,Supermarket Type1
NCY06,15.25,Low Fat,0.061173235,Household,128.5968,OUT035,2004,Small,Tier 2,Supermarket Type1
FDE52,10.395,Regular,0.029881147,Dairy,89.5514,OUT035,2004,Small,Tier 2,Supermarket Type1
NCF31,9.13,Low Fat,0.051837621,Household,152.6024,OUT035,2004,Small,Tier 2,Supermarket Type1
NCC07,19.6,Low Fat,0.024086626,Household,106.0964,OUT017,2007,,Tier 2,Supermarket Type1
FDL46,20.35,Low Fat,0,Snack Foods,118.9466,OUT049,1999,Medium,Tier 1,Supermarket Type1
FDM20,10,Low Fat,0.038764258,Fruits and Vegetables,246.2144,OUT045,2002,,Tier 2,Supermarket Type1
NCH07,13.15,Low Fat,0.093044518,Household,158.4604,OUT018,2009,Medium,Tier 3,Supermarket Type2
FDO49,10.6,Regular,0.033186809,Breakfast,49.1008,OUT018,2009,Medium,Tier 3,Supermarket Type2
FDS35,9.3,Low Fat,0.11139344,Breads,65.2826,OUT049,1999,Medium,Tier 1,Supermarket Type1
DRK39,7.02,Low Fat,0.049966527,Dairy,82.525,OUT045,2002,,Tier 2,Supermarket Type1
DRI39,13.8,Low Fat,0.097212998,Dairy,58.293,OUT049,1999,Medium,Tier 1,Supermarket Type1
FDK44,16.6,Low Fat,0.122417514,Fruits and Vegetables,174.3738,OUT049,1999,Medium,Tier 1,Supermarket Type1
NCH54,13.5,LF,0.073080167,Household,161.492,OUT017,2007,,Tier 2,Supermarket Type1
FDH08,7.51,Low Fat,0.017500079,Fruits and Vegetables,228.801,OUT018,2009,Medium,Tier 3,Supermarket Type2
FDC09,15.5,Regular,0.026297031,Fruits and Vegetables,102.7332,OUT035,2004,Small,Tier 2,Supermarket Type1
NCE19,8.97,Low Fat,0.093540749,Household,55.4956,OUT017,2007,,Tier 2,Supermarket Type1
NCN18,8.895,Low Fat,0,Household,110.9544,OUT049,1999,Medium,Tier 1,Supermarket Type1
FDF32,16.35,Low Fat,0.068068082,Fruits and Vegetables,199.1426,OUT035,2004,Small,Tier 2,Supermarket Type1
NCG54,12.1,Low Fat,0.079791176,Household,169.5106,OUT035,2004,Small,Tier 2,Supermarket Type1
FDT57,15.2,Low Fat,0.019112323,Snack Foods,236.2248,OUT018,2009,Medium,Tier 3,Supermarket Type2
FDS09,8.895,Regular,0.081073148,Snack Foods,51.2008,OUT035,2004,Small,Tier 2,Supermarket Type1
FDC22,6.89,Regular,0.13720009,Snack Foods,191.882,OUT017,2007,,Tier 2,Supermarket Type1
DRD24,13.85,Low Fat,0.030857538,Soft Drinks,140.6154,OUT045,2002,,Tier 2,Supermarket Type1
FDV45,16.75,Low Fat,0.045302246,Snack Foods,189.1556,OUT017,2007,,Tier 2,Supermarket Type1
FDA56,9.21,Low Fat,0.00880049,Fruits and Vegetables,123.0414,OUT018,2009,Medium,Tier 3,Supermarket Type2
FDM20,10,Low Fat,0.038745948,Fruits and Vegetables,245.0144,OUT049,1999,Medium,Tier 1,Supermarket Type1
NCG55,16.25,Low Fat,0.039225553,Household,116.2176,OUT045,2002,,Tier 2,Supermarket Type1
FDX35,5.035,Regular,0.080236064,Breads,226.4036,OUT018,2009,Medium,Tier 3,Supermarket Type2
FDW21,5.34,Regular,0.005975976,Snack Foods,100.8358,OUT045,2002,,Tier 2,Supermarket Type1
FDS59,14.8,Regular,0.043961689,Breads,109.157,OUT049,1999,Medium,Tier 1,Supermarket Type1
FDY19,19.75,Low Fat,0.041598912,Fruits and Vegetables,118.0466,OUT017,2007,,Tier 2,Supermarket Type1
NCC55,10.695,Low Fat,0.063862271,Household,38.1848,OUT049,1999,Medium,Tier 1,Supermarket Type1
FDO09,13.5,Regular,0.125983278,Snack Foods,264.691,OUT017,2007,,Tier 2,Supermarket Type1
FDU43,19.35,Regular,0.058161092,Fruits and Vegetables,239.4564,OUT045,2002,,Tier 2,Supermarket Type1
FDW58,20.75,Low Fat,0.007595816,Snack Foods,104.4622,OUT017,2007,,Tier 2,Supermarket Type1
FDC47,15,Low Fat,0.11956313,Snack Foods,227.2694,OUT017,2007,,Tier 2,Supermarket Type1
DRG49,7.81,Low Fat,0.067442541,Soft Drinks,244.7486,OUT035,2004,Small,Tier 2,Supermarket Type1
NCU18,15.1,Low Fat,0.055926872,Household,141.4496,OUT049,1999,Medium,Tier 1,Supermarket Type1
FDY33,14.5,Regular,0.097597084,Snack Foods,158.5262,OUT018,2009,Medium,Tier 3,Supermarket Type2
NCY30,20.25,Low Fat,0.02610006,Household,182.8976,OUT017,2007,,Tier 2,Supermarket Type1
FDQ46,7.51,Low Fat,0.103974431,Snack Foods,112.1544,OUT049,1999,Medium,Tier 1,Supermarket Type1
FDK33,17.85,Low Fat,0.011298801,Snack Foods,213.256,OUT017,2007,,Tier 2,Supermarket Type1
NCD07,9.1,Low Fat,0.055541153,Household,115.6518,OUT045,2002,,Tier 2,Supermarket Type1
FDI44,16.1,Low Fat,0.100213917,Fruits and Vegetables,79.0328,OUT035,2004,Small,Tier 2,Supermarket Type1
FDA45,21.25,Low Fat,0.155621254,Snack Foods,178.237,OUT049,1999,Medium,Tier 1,Supermarket Type1
FDP31,21.1,Regular,0.161832494,Fruits and Vegetables,65.7168,OUT045,2002,,Tier 2,Supermarket Type1
FDT09,15.15,Regular,0.012313256,Snack Foods,132.8284,OUT018,2009,Medium,Tier 3,Supermarket Type2
NCF31,9.13,Low Fat,0.052140695,Household,153.4024,OUT017,2007,,Tier 2,Supermarket Type1
FDU14,17.75,Low Fat,0.034806679,Dairy,250.175,OUT049,1999,Medium,Tier 1,Supermarket Type1
FDI56,7.325,Low Fat,0.093530571,Fruits and Vegetables,90.4146,OUT049,1999,Medium,Tier 1,Supermarket Type1
DRK49,14.15,Low Fat,0.036090136,Soft Drinks,41.1138,OUT018,2009,Medium,Tier 3,Supermarket Type2
DRD60,15.7,Low Fat,0.03744271,Soft Drinks,181.1634,OUT017,2007,,Tier 2,Supermarket Type1
FDM32,20.5,Low Fat,0.020601136,Fruits and Vegetables,91.683,OUT035,2004,Small,Tier 2,Supermarket Type1
NCC06,19,Low Fat,0.027096298,Household,128.6336,OUT018,2009,Medium,Tier 3,Supermarket Type2
FDW02,4.805,Regular,0.037912667,Dairy,125.8704,OUT017,2007,,Tier 2,Supermarket Type1
NCD43,8.85,Low Fat,0.016110572,Household,104.2964,OUT017,2007,,Tier 2,Supermarket Type1
FDM57,11.65,Regular,0.076158144,Snack Foods,82.9908,OUT018,2009,Medium,Tier 3,Supermarket Type2
FDA58,9.395,Low Fat,0.104338095,Snack Foods,236.8932,OUT017,2007,,Tier 2,Supermarket Type1
FDW20,20.75,LF,0.024247803,Fruits and Vegetables,123.973,OUT018,2009,Medium,Tier 3,Supermarket Type2
FDF34,9.3,Regular,0.014016743,Snack Foods,196.8084,OUT035,2004,Small,Tier 2,Supermarket Type1
FDZ10,17.85,Low Fat,0,Snack Foods,127.502,OUT045,2002,,Tier 2,Supermarket Type1
FDD51,11.15,Low Fat,0.120441348,Dairy,43.7744,OUT018,2009,Medium,Tier 3,Supermarket Type2
FDP58,11.1,LF,0.135906738,Snack Foods,217.9482,OUT017,2007,,Tier 2,Supermarket Type1
FDP26,7.785,Low Fat,0.139835844,Dairy,104.7306,OUT045,2002,,Tier 2,Supermarket Type1
FDF32,16.35,Low Fat,0.068466049,Fruits and Vegetables,197.1426,OUT017,2007,,Tier 2,Supermarket Type1
FDN31,11.5,Low Fat,0.073178424,Fruits and Vegetables,189.153,OUT018,2009,Medium,Tier 3,Supermarket Type2
DRM48,15.2,Low Fat,0.113535259,Soft Drinks,36.0848,OUT017,2007,,Tier 2,Supermarket Type1
FDN20,19.35,Low Fat,0.026222599,Fruits and Vegetables,169.0474,OUT049,1999,Medium,Tier 1,Supermarket Type1
FDV56,16.1,Regular,0.01361686,Fruits and Vegetables,107.2596,OUT049,1999,Medium,Tier 1,Supermarket Type1
FDA03,18.5,Regular,0.045720935,Dairy,145.6102,OUT017,2007,,Tier 2,Supermarket Type1
FDX57,17.25,Regular,0.047339698,Snack Foods,96.5068,OUT049,1999,Medium,Tier 1,Supermarket Type1
NCA30,19,LF,0.129596025,Household,190.5872,OUT045,2002,,Tier 2,Supermarket Type1
DRM48,15.2,Low Fat,0.112875322,Soft Drinks,37.2848,OUT035,2004,Small,Tier 2,Supermarket Type1
NCC19,6.57,Low Fat,0.097275225,Household,192.682,OUT018,2009,Medium,Tier 3,Supermarket Type2
NCE42,21.1,Low Fat,0.010623794,Household,235.4958,OUT045,2002,,Tier 2,Supermarket Type1
FDY08,9.395,Regular,0.171042873,Fruits and Vegetables,139.9838,OUT035,2004,Small,Tier 2,Supermarket Type1
NCT30,9.1,LF,0.080455726,Household,47.3718,OUT045,2002,,Tier 2,Supermarket Type1
DRY23,9.395,Regular,0.109540783,Soft Drinks,41.9112,OUT018,2009,Medium,Tier 3,Supermarket Type2
NCZ30,6.59,Low Fat,0.026291649,Household,121.7098,OUT018,2009,Medium,Tier 3,Supermarket Type2
FDC44,15.6,Low Fat,0.173299972,Fruits and Vegetables,113.3518,OUT018,2009,Medium,Tier 3,Supermarket Type2
FDB45,20.85,Low Fat,0.021325759,Fruits and Vegetables,104.6306,OUT035,2004,Small,Tier 2,Supermarket Type1
FDZ43,11,Regular,0.057381292,Fruits and Vegetables,241.2512,OUT017,2007,,Tier 2,Supermarket Type1
FDL57,15.1,Regular,0.067456225,Snack Foods,257.5304,OUT017,2007,,Tier 2,Supermarket Type1
FDP09,19.75,Low Fat,0.033958586,Snack Foods,212.0902,OUT045,2002,,Tier 2,Supermarket Type1
FDW21,5.34,Regular,0.005973153,Snack Foods,99.0358,OUT049,1999,Medium,Tier 1,Supermarket Type1
DRE13,6.28,Low Fat,0.027861814,Soft Drinks,85.5198,OUT017,2007,,Tier 2,Supermarket Type1
FDD22,10,Low Fat,0.099851786,Snack Foods,111.7544,OUT045,2002,,Tier 2,Supermarket Type1
NCM54,17.7,Low Fat,0.051042366,Household,126.1678,OUT045,2002,,Tier 2,Supermarket Type1
FDP20,19.85,Low Fat,0.04592756,Fruits and Vegetables,127.902,OUT017,2007,,Tier 2,Supermarket Type1
FDM58,16.85,Regular,0,Snack Foods,111.0544,OUT045,2002,,Tier 2,Supermarket Type1
NCA18,10.1,Low Fat,0.05630601,Household,117.1492,OUT018,2009,Medium,Tier 3,Supermarket Type2
FDT31,19.75,Low Fat,0.012445941,Fruits and Vegetables,187.8872,OUT035,2004,Small,Tier 2,Supermarket Type1
FDT45,15.85,Low Fat,0.05740255,Snack Foods,53.0956,OUT049,1999,Medium,Tier 1,Supermarket Type1
NCR54,16.35,Low Fat,0.090702992,Household,195.111,OUT049,1999,Medium,Tier 1,Supermarket Type1
NCO18,13.15,Low Fat,0.024751688,Household,178.2686,OUT018,2009,Medium,Tier 3,Supermarket Type2
FDU09,7.71,Regular,0.0667322,Snack Foods,56.2956,OUT045,2002,,Tier 2,Supermarket Type1
FDG45,8.1,Low Fat,0,Fruits and Vegetables,213.2902,OUT049,1999,Medium,Tier 1,Supermarket Type1
DRH15,8.775,Low Fat,0.109890489,Dairy,45.0428,OUT035,2004,Small,Tier 2,Supermarket Type1
DRE01,10.1,Low Fat,0.167123591,Soft Drinks,243.5512,OUT035,2004,Small,Tier 2,Supermarket Type1
DRE15,13.35,Low Fat,0.017813048,Dairy,77.0012,OUT049,1999,Medium,Tier 1,Supermarket Type1
NCL42,18.85,Low Fat,0.04045348,Household,247.0144,OUT045,2002,,Tier 2,Supermarket Type1
FDN33,6.305,Regular,0.123617286,Snack Foods,93.5436,OUT018,2009,Medium,Tier 3,Supermarket Type2
FDQ45,9.5,Regular,0.010961524,Snack Foods,184.4608,OUT018,2009,Medium,Tier 3,Supermarket Type2
FDW10,21.2,Low Fat,0,Snack Foods,176.137,OUT049,1999,Medium,Tier 1,Supermarket Type1
FDS20,8.85,Low Fat,0.054086343,Fruits and Vegetables,182.2292,OUT018,2009,Medium,Tier 3,Supermarket Type2
FDV02,16.75,Low Fat,0.060534179,Dairy,169.4106,OUT035,2004,Small,Tier 2,Supermarket Type1
FDN23,6.575,Regular,0.075815345,Breads,144.6444,OUT018,2009,Medium,Tier 3,Supermarket Type2
FDV23,11,Low Fat,0.106435421,Breads,125.7046,OUT017,2007,,Tier 2,Supermarket Type1
DRI03,6.03,Low Fat,0.022749737,Dairy,175.7028,OUT045,2002,,Tier 2,Supermarket Type1
FDN13,18.6,Low Fat,0.152029528,Breakfast,99.3358,OUT035,2004,Small,Tier 2,Supermarket Type1
FDU46,10.3,Regular,0.011124197,Snack Foods,87.454,OUT035,2004,Small,Tier 2,Supermarket Type1
FDB57,20.25,Regular,0.018834342,Fruits and Vegetables,222.3772,OUT049,1999,Medium,Tier 1,Supermarket Type1
NCA18,10.1,Low Fat,0.056394771,Household,115.9492,OUT017,2007,,Tier 2,Supermarket Type1
FDM32,20.5,LF,0.020721583,Fruits and Vegetables,91.183,OUT017,2007,,Tier 2,Supermarket Type1
FDP59,20.85,Regular,0.056785107,Breads,102.2648,OUT017,2007,,Tier 2,Supermarket Type1
FDM22,14,Regular,0.042042857,Snack Foods,53.864,OUT045,2002,,Tier 2,Supermarket Type1
FDX02,16,Low Fat,0.057175809,Dairy,223.5404,OUT045,2002,,Tier 2,Supermarket Type1
NCS42,8.6,Low Fat,0.06969924,Household,92.6146,OUT018,2009,Medium,Tier 3,Supermarket Type2
FDB21,7.475,Low Fat,0.148751515,Fruits and Vegetables,241.8854,OUT049,1999,Medium,Tier 1,Supermarket Type1
FDQ55,13.65,Regular,0.013111823,Fruits and Vegetables,113.2834,OUT017,2007,,Tier 2,Supermarket Type1
FDZ19,6.425,Low Fat,0.093644428,Fruits and Vegetables,174.3712,OUT045,2002,,Tier 2,Supermarket Type1
NCC43,7.39,Low Fat,0.092971061,Household,252.4066,OUT045,2002,,Tier 2,Supermarket Type1
NCA42,6.965,Low Fat,0.028664878,Household,159.0604,OUT018,2009,Medium,Tier 3,Supermarket Type2
NCC30,16.6,Low Fat,0.027635129,Household,178.8344,OUT045,2002,,Tier 2,Supermarket Type1
FDT44,16.6,Low Fat,0.102967068,Fruits and Vegetables,118.8466,OUT035,2004,Small,Tier 2,Supermarket Type1
FDX26,17.7,Low Fat,0.087945039,Dairy,183.3292,OUT049,1999,Medium,Tier 1,Supermarket Type1
NCH42,6.86,Low Fat,0.036611419,Household,230.201,OUT045,2002,,Tier 2,Supermarket Type1
FDV08,7.35,Low Fat,0.028589521,Fruits and Vegetables,42.0454,OUT035,2004,Small,Tier 2,Supermarket Type1
FDB47,8.8,Low Fat,0.071720362,Snack Foods,210.6612,OUT018,2009,Medium,Tier 3,Supermarket Type2
DRI13,15.35,Low Fat,0.020368186,Soft Drinks,216.9508,OUT045,2002,,Tier 2,Supermarket Type1
FDG32,19.85,Low Fat,0.176712457,Fruits and Vegetables,222.9772,OUT018,2009,Medium,Tier 3,Supermarket Type2
FDU14,17.75,Low Fat,0.034949223,Dairy,250.275,OUT017,2007,,Tier 2,Supermarket Type1
FDS08,5.735,Low Fat,0.05704978,Fruits and Vegetables,175.037,OUT049,1999,Medium,Tier 1,Supermarket Type1
FDX47,6.55,Regular,0.034674522,Breads,157.5288,OUT045,2002,,Tier 2,Supermarket Type1
FDQ19,7.35,Regular,0.014362412,Fruits and Vegetables,241.1512,OUT035,2004,Small,Tier 2,Supermarket Type1
FDA51,8.05,Regular,0.165013572,Dairy,113.2518,OUT045,2002,,Tier 2,Supermarket Type1
FDZ27,7.935,Low Fat,0.017226149,Dairy,48.635,OUT018,2009,Medium,Tier 3,Supermarket Type2
DRC13,8.26,Regular,0.03249201,Soft Drinks,124.773,OUT049,1999,Medium,Tier 1,Supermarket Type1
FDD09,13.5,Low Fat,0.021492339,Fruits and Vegetables,179.6976,OUT035,2004,Small,Tier 2,Supermarket Type1
FDX07,19.2,Regular,0.02304845,Fruits and Vegetables,183.495,OUT017,2007,,Tier 2,Supermarket Type1
FDR07,21.35,Low Fat,0.077729209,Fruits and Vegetables,97.0094,OUT035,2004,Small,Tier 2,Supermarket Type1
FDA51,8.05,Regular,0.165611092,Dairy,114.2518,OUT017,2007,,Tier 2,Supermarket Type1
FDF20,12.85,Low Fat,0.033408076,Fruits and Vegetables,195.0768,OUT017,2007,,Tier 2,Supermarket Type1
FDY26,20.6,Regular,0.030557961,Dairy,210.2244,OUT049,1999,Medium,Tier 1,Supermarket Type1
FDP46,15.35,Low Fat,0.074731622,Snack Foods,87.883,OUT049,1999,Medium,Tier 1,Supermarket Type1
FDX33,9.195,Regular,0.117963418,Snack Foods,161.1578,OUT018,2009,Medium,Tier 3,Supermarket Type2
FDF39,14.85,Regular,0,Dairy,261.691,OUT049,1999,Medium,Tier 1,Supermarket Type1
FDS21,19.85,Regular,0.020994235,Snack Foods,60.7194,OUT017,2007,,Tier 2,Supermarket Type1
NCH54,13.5,Low Fat,0.072816495,Household,157.892,OUT045,2002,,Tier 2,Supermarket Type1
FDT56,16,Regular,0.115772125,Fruits and Vegetables,58.9246,OUT049,1999,Medium,Tier 1,Supermarket Type1
DRD15,10.6,Low Fat,0.057027285,Dairy,232.3642,OUT018,2009,Medium,Tier 3,Supermarket Type2
FDP21,7.42,Regular,0.025780862,Snack Foods,187.0872,OUT049,1999,Medium,Tier 1,Supermarket Type1
NCP06,20.7,Low Fat,0.039325397,Household,149.4366,OUT045,2002,,Tier 2,Supermarket Type1
DRH49,19.7,Low Fat,0,Soft Drinks,84.2592,OUT045,2002,,Tier 2,Supermarket Type1
NCI06,11.3,Low Fat,0.0479876,Household,180.866,OUT017,2007,,Tier 2,Supermarket Type1
FDX27,20.7,Regular,0.114762583,Dairy,95.1436,OUT017,2007,,Tier 2,Supermarket Type1
DRM37,15.35,Low Fat,0.09659331,Soft Drinks,198.2768,OUT045,2002,,Tier 2,Supermarket Type1
FDA38,5.44,LF,0.025531593,Dairy,241.5538,OUT045,2002,,Tier 2,Supermarket Type1
FDV47,17.1,Low Fat,0.054317483,Breads,85.7566,OUT045,2002,,Tier 2,Supermarket Type1
FDN21,18.6,Low Fat,0.077011493,Snack Foods,160.5236,OUT045,2002,,Tier 2,Supermarket Type1
FDA56,9.21,Low Fat,0.008814363,Fruits and Vegetables,122.7414,OUT017,2007,,Tier 2,Supermarket Type1
FDQ49,20.2,Regular,0.039407615,Breakfast,156.563,OUT018,2009,Medium,Tier 3,Supermarket Type2
FDZ09,17.6,Low Fat,0.105306199,Snack Foods,164.3868,OUT018,2009,Medium,Tier 3,Supermarket Type2
NCG42,19.2,LF,0.041461032,Household,129.931,OUT017,2007,,Tier 2,Supermarket Type1
FDW26,11.8,Regular,0.107493292,Dairy,220.4772,OUT018,2009,Medium,Tier 3,Supermarket Type2
NCN30,16.35,Low Fat,0.017019624,Household,94.541,OUT049,1999,Medium,Tier 1,Supermarket Type1
FDU22,12.35,Low Fat,0.093485761,Snack Foods,119.6124,OUT045,2002,,Tier 2,Supermarket Type1
DRH01,17.5,Low Fat,0.098056243,Soft Drinks,175.7738,OUT049,1999,Medium,Tier 1,Supermarket Type1
NCP30,20.5,Low Fat,0.032902177,Household,39.7822,OUT018,2009,Medium,Tier 3,Supermarket Type2
NCP02,7.105,Low Fat,0.044800289,Household,58.0562,OUT035,2004,Small,Tier 2,Supermarket Type1
FDJ10,5.095,Regular,0.13023619,Snack Foods,140.3838,OUT017,2007,,Tier 2,Supermarket Type1
NCB18,19.6,Low Fat,0.041524729,Household,87.8514,OUT017,2007,,Tier 2,Supermarket Type1
NCQ50,18.75,Low Fat,0.034447102,Household,212.5218,OUT018,2009,Medium,Tier 3,Supermarket Type2
FDZ33,10.195,Low Fat,0.107614855,Snack Foods,148.6076,OUT045,2002,,Tier 2,Supermarket Type1
FDA08,11.85,Regular,0.050163021,Fruits and Vegetables,163.1526,OUT049,1999,Medium,Tier 1,Supermarket Type1
FDV33,9.6,Regular,0.02733844,Snack Foods,258.1304,OUT035,2004,Small,Tier 2,Supermarket Type1
DRZ24,7.535,Low Fat,0,Soft Drinks,120.244,OUT018,2009,Medium,Tier 3,Supermarket Type2
NCL54,12.6,Low Fat,0.082738167,Household,173.5054,OUT035,2004,Small,Tier 2,Supermarket Type1
FDX08,12.85,Low Fat,0.022731909,Fruits and Vegetables,182.4318,OUT017,2007,,Tier 2,Supermarket Type1
FDN49,17.25,Regular,0.125932787,Breakfast,38.248,OUT017,2007,,Tier 2,Supermarket Type1
FDL08,10.8,Low Fat,0.04992156,Fruits and Vegetables,246.0144,OUT018,2009,Medium,Tier 3,Supermarket Type2
FDP19,11.5,Low Fat,0.174222894,Fruits and Vegetables,129.4652,OUT018,2009,Medium,Tier 3,Supermarket Type2
NCN26,10.85,Low Fat,0.028724484,Household,116.0808,OUT049,1999,Medium,Tier 1,Supermarket Type1
FDS02,10.195,Regular,0.14616317,Dairy,193.1794,OUT045,2002,,Tier 2,Supermarket Type1
FDD32,17.7,Regular,0,Fruits and Vegetables,80.0276,OUT035,2004,Small,Tier 2,Supermarket Type1
FDY09,15.6,Low Fat,0.025195384,Snack Foods,176.8054,OUT035,2004,Small,Tier 2,Supermarket Type1
DRB25,12.3,Low Fat,0.069567714,Soft Drinks,106.0938,OUT049,1999,Medium,Tier 1,Supermarket Type1
FDC57,20.1,Regular,0.054903339,Fruits and Vegetables,193.282,OUT017,2007,,Tier 2,Supermarket Type1
FDU23,12.15,Low Fat,0.021846371,Breads,167.1184,OUT017,2007,,Tier 2,Supermarket Type1
NCD06,13,Low Fat,0.099306497,Household,46.706,OUT035,2004,Small,Tier 2,Supermarket Type1
FDW08,12.1,LF,0.148682491,Fruits and Vegetables,106.728,OUT045,2002,,Tier 2,Supermarket Type1
NCR18,15.85,Low Fat,0.020529174,Household,42.9112,OUT045,2002,,Tier 2,Supermarket Type1
FDH46,6.935,Regular,0.041366008,Snack Foods,102.8332,OUT045,2002,,Tier 2,Supermarket Type1
NCP14,8.275,Low Fat,0.110461228,Household,103.6306,OUT049,1999,Medium,Tier 1,Supermarket Type1
NCJ06,20.1,Low Fat,0.034706495,Household,120.1782,OUT049,1999,Medium,Tier 1,Supermarket Type1
FDQ07,15.1,Regular,0.087901272,Fruits and Vegetables,222.7456,OUT017,2007,,Tier 2,Supermarket Type1
FDS45,5.175,reg,0.029541813,Snack Foods,105.1622,OUT049,1999,Medium,Tier 1,Supermarket Type1
NCJ06,20.1,Low Fat,0.034722896,Household,121.1782,OUT045,2002,,Tier 2,Supermarket Type1
NCL30,18.1,Low Fat,0.049217255,Household,128.4336,OUT017,2007,,Tier 2,Supermarket Type1
